,AIC,BIC,Log-Likelihood
"EGARCH(1,1,1)",25900.156449628616,25940.753879910135,-12944.078224814308
"GJR-GARCH(1,1,1)",25904.387524979,25944.98495526052,-12946.1937624895
"GARCH(1,1)",25940.734098219502,25974.56529012077,-12965.367049109751
