Date,Open,High,Low,Close,Volume
1996-11-08,7.8850673784251235,7.8850673784251235,7.868180274963379,7.868180274963379,767000
1996-11-11,7.876406829317486,7.880737003520184,7.829642104183147,7.846961975097656,260000
1996-11-12,7.8638489560964455,7.93616112979341,7.833971332682157,7.906284332275391,1066000
1996-11-13,7.943090301153055,7.943090301153055,7.876407430315194,7.8937273025512695,793000
1996-11-14,7.88290185708422,7.91927433013916,7.851292327991764,7.91927433013916,351000
1996-11-15,7.927501218932384,7.9846581932988645,7.910613292858838,7.983791828155518,624000
1996-11-18,7.955646490465163,8.047011265068587,7.952615451163066,7.995916366577148,624000
1996-11-19,8.00414329532121,8.029690742492676,7.930098397357525,8.029690742492676,442000
1996-11-20,8.004145339338217,8.055240246729246,7.8993572544457225,7.902821063995361,546000
1996-11-21,7.927501941284245,7.927501941284245,7.878138945125027,7.910614013671875,286000
1996-11-22,7.893727947115441,7.972968578338623,7.873809803353812,7.972968578338623,312000
1996-11-25,8.01280396706164,8.221513748168945,8.01280396706164,8.221513748168945,1040000
1996-11-26,8.259619397686482,8.474824039045414,8.259619397686482,8.35401439666748,2015000
1996-11-27,8.32760466816429,8.336265020826456,8.27261233724588,8.280839920043945,455000
1996-11-28,8.29425838432768,8.536309566640192,8.293824788819625,8.515957832336426,923000
1996-11-29,8.540639876263524,8.540639876263524,8.472657054896738,8.526782989501953,624000
1996-12-02,8.523752988926244,8.685265273183347,8.489546015161872,8.656686782836914,702000
1996-12-03,8.761907328417825,9.16243894934773,8.761907328417825,9.16157341003418,1781000
1996-12-04,9.026039320616276,9.149446368534157,8.906962445981,9.105279922485352,1118000
1996-12-05,9.07713737476538,9.27285747627481,8.936843180244745,8.940740585327148,1417000
1996-12-06,8.728132356468548,8.932511957693968,8.396015504477239,8.779227256774902,1495000
1996-12-09,8.85586972467746,9.070641581855469,8.85586972467746,9.060249328613281,494000
1996-12-10,9.123035494859657,9.191883861950755,9.11047856756361,9.119571685791016,442000
1996-12-11,9.017382069010557,9.060249391271768,8.830322335253848,8.858468055725098,611000
1996-12-12,8.940741242619048,8.940741242619048,8.766239232534293,8.787456512451172,403000
1996-12-13,8.677037694682728,8.687862717744258,8.540640917494075,8.642829895019531,663000
1996-12-16,8.574849710061892,8.769703470084902,8.574849710061892,8.761909484863281,286000
1996-12-17,8.660150891665015,8.68396643876051,8.634170670240998,8.676605224609375,481000
1996-12-18,8.719474267993359,8.72813461880782,8.655822423889754,8.693926811218262,312000
1996-12-19,8.663614087631307,8.728132279885694,8.617282131675921,8.726400375366211,455000
1996-12-20,8.770568194382918,9.009155629319343,8.770568194382918,8.899171829223633,845000
1996-12-23,8.94074150592605,8.983608836764434,8.94074150592605,8.974082946777344,104000
1996-12-24,8.974082946777344,8.974082946777344,8.974082946777344,8.974082946777344,0
1996-12-25,8.974082946777344,8.974082946777344,8.974082946777344,8.974082946777344,0
1996-12-26,8.974082946777344,8.974082946777344,8.974082946777344,8.974082946777344,0
1996-12-27,9.026039897769069,9.042927822419928,8.959789811511575,8.985337257385254,195000
1996-12-30,9.06024848754826,9.143385679871798,9.06024848754826,9.111343383789062,182000
1996-12-31,9.111343383789062,9.111343383789062,9.111343383789062,9.111343383789062,0
1997-01-01,9.111343383789062,9.111343383789062,9.111343383789062,9.111343383789062,0
1997-01-02,8.949399915189444,9.059817305272462,8.88964548649484,8.958060264587402,429000
1997-01-03,9.026041614104013,9.026041614104013,8.923851811177528,8.99183464050293,572000
1997-01-06,9.068477058307916,9.111344380984919,8.838550000059811,8.967585563659668,598000
1997-01-07,8.90263508108872,8.92904889867618,8.872757454140938,8.906965255737305,624000
1997-01-08,8.940738186166493,9.068475417638544,8.898302814943104,9.034700393676758,1170000
1997-01-09,9.009154986400391,9.077136993408203,8.94939973302572,9.077136993408203,884000
1997-01-10,9.153778011100764,9.247308282404704,8.988802759802484,9.042928695678711,1586000
1997-01-13,9.153780278078651,9.226092467031714,9.141223348561057,9.187555313110352,650000
1997-01-14,9.21353445856624,9.494556427001953,9.151181762119695,9.494556427001953,1040000
1997-01-15,9.575096297476732,9.57942564617334,9.281516571706803,9.31572437286377,754000
1997-01-16,9.281517418539677,9.31269418291573,9.196215531554161,9.20833969116211,351000
1997-01-17,9.24730879006479,9.494555708719279,9.242978615849426,9.358158111572266,1313000
1997-01-20,9.392367589245655,9.460349602200923,9.264630317687988,9.264630317687988,897000
1997-01-21,9.264630317687988,9.264630317687988,9.264630317687988,9.264630317687988,0
1997-01-22,9.247310437910516,9.323952800797747,9.072807606930867,9.145120620727539,429000
1997-01-23,9.196212746338178,9.196212746338178,9.05158758840809,9.126065254211426,338000
1997-01-24,9.06847848622855,9.06847848622855,8.685266662141258,8.81386947631836,806000
1997-01-27,8.804776158416155,8.821663262783522,8.688297506768343,8.774898529052734,598000
1997-01-28,8.787456613562904,8.928183589758907,8.723803947183404,8.856304168701172,1001000
1997-01-29,8.77922948670297,8.84288215637207,8.719474222649062,8.84288215637207,832000
1997-01-30,8.91519206002982,9.085796631686366,8.889644609952356,8.979276657104492,1417000
1997-01-31,8.958059734409696,8.999628748342552,8.898304483355297,8.932512283325195,598000
1997-02-03,8.915192330793149,8.915192330793149,8.779227497390723,8.85500431060791,780000
1997-02-04,8.898305202716639,8.974947562166099,8.887047408972572,8.940740585327148,936000
1997-02-05,8.973213776117039,9.211801154029054,8.973213776117039,9.170665740966797,1313000
1997-02-06,9.170665740966797,9.170665740966797,9.170665740966797,9.170665740966797,0
1997-02-07,9.136891055254582,9.213533401489258,9.136891055254582,9.213533401489258,312000
1997-02-10,9.162441308182963,9.366820960692902,9.11134639505548,9.323953628540039,780000
1997-02-11,9.451688517303488,9.600643882497396,9.451688517303488,9.588086128234863,871000
1997-02-12,9.588086128234863,9.588086128234863,9.588086128234863,9.588086128234863,0
1997-02-13,10.005505522062906,10.218111890282556,9.962637371951454,10.205554962158203,1443000
1997-02-14,10.34584708750672,10.38005488166134,10.07348552076371,10.115920066833496,1781000
1997-02-17,10.047938934367084,10.218110728715008,9.920201689722361,10.166583061218262,676000
1997-02-18,10.28609206396086,10.28609206396086,9.947480401554955,9.961770057678223,1053000
1997-02-19,9.961770057678223,9.961770057678223,9.961770057678223,9.961770057678223,0
1997-02-20,9.834900323648403,9.876902109387926,9.708029427035168,9.777743339538574,819000
1997-02-21,9.707162857055664,9.732710308897817,9.626191152854444,9.707162857055664,728000
1997-02-24,9.639181529854147,9.669059158372612,9.604973726459455,9.622294425964355,351000
1997-02-25,9.656067050685238,9.86044664631626,9.656067050685238,9.775577545166016,1079000
1997-02-26,9.792464646287259,9.792464646287259,9.622292848442749,9.775577545166016,585000
1997-02-27,9.77557928421526,9.898986379272122,9.656068768473881,9.664729118347168,819000
1997-02-28,9.583756159690916,9.724483948301767,9.583756159690916,9.690276145935059,390000
1997-03-03,9.626190486492838,9.707162185088889,9.62229308187972,9.639180183410645,221000
1997-03-04,9.758259562921571,10.005507373447797,9.758259562921571,9.954412460327148,1495000
1997-03-05,9.979958034671151,10.286093859993304,9.915872607524511,10.175677299499512,975000
1997-03-06,10.303411994185893,10.422488874155489,10.095568622686658,10.258811950683594,1170000
1997-03-07,10.260547345977994,10.431152770239015,10.215948113197244,10.40560531616211,1144000
1997-03-10,10.29475268563187,10.439377025573819,10.29475268563187,10.311639785766602,754000
1997-03-11,10.409938306261731,10.72906477071286,10.409938306261731,10.619946479797363,1001000
1997-03-12,10.686626477994484,10.797043039972534,10.619942780039693,10.779723167419434,1391000
1997-03-13,11.026969909667969,11.069838059429017,10.96764825293188,11.026969909667969,1729000
1997-03-14,10.942102701370441,10.991032112900186,10.558890860462608,10.805705070495605,1482000
1997-03-17,10.759373533538144,10.759373533538144,10.303416711747815,10.307746887207031,871000
1997-03-18,10.320303806079966,10.43115398519856,10.00767224099305,10.024992942810059,806000
1997-03-19,10.047939238705805,10.260545589196497,10.047939238705805,10.218111038208008,858000
1997-03-20,10.260545863347035,10.388283115273747,9.834899555444604,9.920202255249023,1469000
1997-03-21,10.047940815071279,10.15835738407364,10.030187345800076,10.064827919006348,728000
1997-03-24,10.175677724721284,10.184770843896093,10.072621548177057,10.150130271911621,572000
1997-03-25,10.252320601244183,10.665410041809082,10.252320601244183,10.665410041809082,1755000
1997-03-26,10.558887677112521,11.452614774129007,10.558887677112521,11.299763679504395,3614000
1997-03-27,11.750959228803636,11.750959228803636,11.410181999206543,11.410181999206543,780000
1997-03-28,11.410181999206543,11.410181999206543,11.410181999206543,11.410181999206543,0
1997-03-31,11.410181999206543,11.410181999206543,11.410181999206543,11.410181999206543,0
1997-04-01,11.154707273811068,11.154707273811068,10.686626386637483,10.8165283203125,1326000
1997-04-02,10.899231948138267,10.984534646574286,10.371395847161859,10.442842483520508,1261000
1997-04-03,10.533341175827415,10.533341175827415,10.269206320533874,10.336322784423828,1586000
1997-04-04,10.431151216152449,10.92088294560078,10.431151216152449,10.550228118896484,2171000
1997-04-07,10.814364416057522,11.06897258758545,10.814364416057522,11.06897258758545,1027000
1997-04-08,11.069838496109034,11.466473579406738,11.069838496109034,11.466473579406738,1560000
1997-04-09,11.516702136574867,12.048868467938343,11.516702136574867,11.980886459350586,2470000
1997-04-10,12.00643202573762,12.261906512303389,11.921129331705533,12.210811614990234,2249000
1997-04-11,12.202152051315254,12.68755360699314,11.802053195152943,11.83669376373291,2028000
1997-04-14,11.554805425946734,12.02331987916316,11.554805425946734,11.901644706726074,2262000
1997-04-15,12.172274820434072,12.219039548234875,12.031980637031669,12.164047241210938,1560000
1997-04-16,12.164047241210938,12.164047241210938,12.164047241210938,12.164047241210938,0
1997-04-17,12.006433912020821,12.227700636629994,11.623222121967284,11.980886459350586,2652000
1997-04-18,11.977856070957921,11.977856070957921,11.751825563747879,11.82760238647461,832000
1997-04-21,11.554805834304638,11.665655987851652,11.537918732056237,11.653099060058594,897000
1997-04-22,11.623223470251709,11.793395309260204,11.512373297289287,11.656997680664062,650000
1997-04-23,11.844492338293511,11.844492338293511,11.74230249748734,11.75918960571289,273000
1997-04-24,11.733637154792227,11.939748653954135,11.708089705456892,11.89558219909668,728000
1997-04-25,11.912470115871466,12.116849724549471,11.853148460388184,11.853148460388184,234000
1997-04-28,12.029383816895947,12.029383816895947,11.767847195074864,11.810281753540039,169000
1997-04-29,11.904244983209233,11.980887346897624,11.76091891509984,11.92113208770752,507000
1997-04-30,12.065755557937432,12.248917901139444,11.980886446195575,12.17227554321289,455000
1997-05-01,12.17227554321289,12.17227554321289,12.17227554321289,12.17227554321289,0
1997-05-02,12.287455783727676,12.576704514390137,12.440740498405972,12.547693252563477,416000
1997-05-05,12.687552326535085,12.943026803740352,12.670664400663386,12.926138877868652,1157000
1997-05-06,13.070765377084706,13.113199929113987,12.73431834848852,12.789743423461914,806000
1997-05-07,12.713101700898383,12.713101700898383,12.568476514506418,12.604849815368652,195000
1997-05-08,12.604849815368652,12.604849815368652,12.604849815368652,12.604849815368652,0
1997-05-09,12.691882006801,12.755533825869497,12.52560680532697,12.602249145507812,403000
1997-05-12,12.602249070809586,12.619568939627198,12.313000406617158,12.380982398986816,988000
1997-05-13,12.517385199618573,12.559819763110122,12.325562472554596,12.364100456237793,1235000
1997-05-14,12.397872959623264,12.601819819569261,12.36409875175645,12.466288566589355,546000
1997-05-15,12.440738742294489,12.47451294372562,12.03197956085205,12.03197956085205,715000
1997-05-16,12.176604149286705,12.225967143508548,11.83582695942498,11.934120178222656,572000
1997-05-19,11.934120178222656,11.934120178222656,11.934120178222656,11.934120178222656,0
1997-05-20,11.750958290444897,11.853148091604496,11.631447792053223,11.631447792053223,715000
1997-05-21,11.793395866556077,11.827603674233826,11.68254568835544,11.750961303710938,442000
1997-05-22,11.708093145196402,11.793395866556077,11.631450774673514,11.750961303710938,546000
1997-05-23,11.75095994642705,12.236361570339467,12.16794596288625,12.219040870666504,91000
1997-05-26,12.21904095047741,12.56847772710802,12.21904095047741,12.524744033813477,442000
1997-05-27,12.43208235714503,12.661575874328445,12.43208235714503,12.660710334777832,442000
1997-05-28,12.789743471799797,12.40003604096655,12.048867409448716,12.159717559814453,572000
1997-05-29,12.176606178283691,12.176606178283691,12.176606178283691,12.176606178283691,13000
1997-05-30,12.014661922194016,12.014661922194016,11.767847719105745,11.835829734802246,468000
1997-06-02,11.793393771154816,12.048868294172788,11.793393771154816,11.908574104309082,442000
1997-06-03,11.92113105457677,12.26190828442459,11.92113105457677,12.091302871704102,722800
1997-06-04,12.15105815378982,12.261908312754935,12.031981241084885,12.064889907836914,413400
1997-06-05,12.048867579792068,12.219039386517062,12.164047080220943,12.19349193572998,231400
1997-06-06,12.244588551325409,12.244588551325409,11.963566553329505,12.129841804504395,538200
1997-06-09,12.13417190387424,12.20215391654345,11.631449574111798,11.810281753540039,712400
1997-06-10,11.732341405809604,11.759187997726123,11.607635162456535,11.691205978393555,171600
1997-06-11,11.742300891809768,11.756589727309297,11.640111064977342,11.691205978393555,288600
1997-06-12,11.750959103837484,12.048868179321289,11.72541165177921,12.048868179321289,824200
1997-06-13,12.091302975418413,12.229432492344513,11.929791506219672,12.1423978805542,1146600
1997-06-16,12.243720978053942,12.270134795169591,12.014660276740976,12.036311149597168,470600
1997-06-17,11.963565056231422,12.108623009889202,11.777371684080768,11.869169235229492,912600
1997-06-18,11.844487942125392,12.202152252197266,11.818940491405973,12.202152252197266,1661400
1997-06-19,12.236361245178239,12.464555593441062,12.134171432333256,12.257144927978516,1102400
1997-06-20,12.278795387459377,12.304342839808134,11.929791403890741,12.091302871704102,1071200
1997-06-23,12.006434439986128,12.031981893779776,11.835829017616692,11.967896461486816,629200
1997-06-24,11.835828597012027,11.993443489074707,11.784733691240469,11.993443489074707,704600
1997-06-25,12.116848299747364,12.116848299747364,11.921129062969177,12.040205955505371,663000
1997-06-26,12.010766735297656,12.287458600973737,12.00643655963131,12.163185119628906,1391000
1997-06-27,12.219040469398937,12.380985537257981,12.085673894344643,12.148027420043945,1040000
1997-06-30,12.206481216082327,12.389643527335192,12.040206005112575,12.108621597290039,1287000
1997-07-01,12.159717892657667,12.364097501659266,12.027216867009681,12.164047241210938,1453400
1997-07-02,12.172276271323492,12.333787750653057,12.167946096357754,12.300013542175293,876200
1997-07-03,12.355435558071123,12.727821427813934,12.325557936352563,12.666335105895996,1742000
1997-07-04,12.61091079094569,12.61091079094569,12.380983746736979,12.516947746276855,728000
1997-07-07,12.517381680936627,12.66373793722185,12.525608433916764,12.5736722946167,210600
1997-07-08,12.815293051151118,12.815293051151118,12.627800518360706,12.772857666015625,1664000
1997-07-09,12.857727610390167,12.857727610390167,12.653347973030646,12.772857666015625,1008800
1997-07-10,12.729990097204945,12.764197901331235,12.432513766607116,12.559818267822266,998400
